txt,vertices,boundBox,slopes,font,word_len,direction,center_point,Label,img_path,idx,type
SCARY,"[(159, 231), (171, 254), (162, 259), (149, 236)]","{'Width': 22, 'Height': 28, 'Left': 149, 'Top': 231}","(-1.917, 0.556, -1.769, 0.5)",10.73798501,26.18096658,vertical,"(160.25, 245.0)",1,./docs/crop_pics/google/Bookshelves_4.jpg_2_1.jpg,782,train
",","[(608, 285), (611, 293), (588, 302), (585, 294)]","{'Width': 26, 'Height': 17, 'Left': 585, 'Top': 285}","(-2.667, 0.391, -2.667, 0.391)",24.69817807,8.544003745,vertical,"(598.0, 293.5)",1,./docs/crop_pics/google/Bookshelves_4.jpg_2_1.jpg,813,train
Nazi,"[(795, 405), (798, 436), (776, 438), (773, 407)]","{'Width': 25, 'Height': 33, 'Left': 773, 'Top': 405}","(-10.333, 0.091, -10.333, 0.091)",22.09072203,31.144823,vertical,"(785.5, 421.5)",1,./docs/crop_pics/google/Bookshelves_1.jpg_1_0.jpg,341,train
",","[(2912, 910), (2912, 917), (2881, 915), (2881, 908)]","{'Width': 31, 'Height': 9, 'Left': 2881, 'Top': 908}","(1000.0, -0.065, 1000.0, -0.065)",31.06444913,7.0,vertical,"(2896.5, 912.5)",1,./docs/crop_pics/google/IMG_7940.jpeg_0_0.jpg,1321,train
My,"[(17, 309), (19, 329), (6, 330), (4, 310)]","{'Width': 15, 'Height': 21, 'Left': 4, 'Top': 309}","(-10.0, 0.077, -10.0, 0.077)",13.03840481,20.09975124,vertical,"(11.5, 319.5)",0,./docs/crop_pics/google/Bookshelves_1.jpg_1_1.jpg,403,train
37131,"[(3543, 320), (3577, 315), (3579, 334), (3546, 339)]","{'Width': 36, 'Height': 24, 'Left': 3543, 'Top': 315}","(0.147, -9.5, 0.152, -6.333)",19.17017862,33.87115955,horizontal,"(3561.25, 327.0)",0,./docs/crop_pics/google/IMG_7940.jpeg_0_0.jpg,1374,train
Nikki,"[(1333, 990), (1244, 987), (1245, 959), (1334, 962)]","{'Width': 90, 'Height': 31, 'Left': 1244, 'Top': 959}","(-0.034, 28.0, -0.034, 28.0)",28.01785145,89.05054744,horizontal,"(1289.0, 974.5)",0,./docs/crop_pics/google/Bookshelves_1.jpg_0_0.jpg,105,train
CADA,"[(486, 91), (522, 161), (495, 175), (459, 105)]","{'Width': 63, 'Height': 84, 'Left': 459, 'Top': 91}","(-1.944, 0.519, -1.944, 0.519)",30.41381265,78.71467462,vertical,"(490.5, 133.0)",0,./docs/crop_pics/google/Bookshelves_4.jpg_2_0.jpg,738,train
Called,"[(458, 482), (458, 512), (449, 512), (449, 482)]","{'Width': 9, 'Height': 30, 'Left': 449, 'Top': 482}","(1000.0, 0.0, 1000.0, -0.0)",9.0,30.0,vertical,"(453.5, 497.0)",0,./docs/crop_pics/google/Bookshelves_4.jpg_3_0.jpg,871,train
HAPPINESS,"[(148, 183), (154, 277), (139, 278), (133, 184)]","{'Width': 21, 'Height': 95, 'Left': 133, 'Top': 183}","(-15.667, 0.067, -15.667, 0.067)",15.03329638,94.19129471,vertical,"(143.5, 230.5)",1,./docs/crop_pics/google/Bookshelves_1.jpg_1_1.jpg,420,train
NEW,"[(1726, 1173), (1761, 1173), (1761, 1185), (1726, 1185)]","{'Width': 35, 'Height': 12, 'Left': 1726, 'Top': 1173}","(-0.0, 1000.0, 0.0, 1000.0)",12.0,35.0,horizontal,"(1743.5, 1179.0)",0,./docs/crop_pics/google/IMG_7940.jpeg_0_0.jpg,1185,train
TCARD,"[(397, 44), (439, 46), (438, 59), (397, 57)]","{'Width': 42, 'Height': 15, 'Left': 397, 'Top': 44}","(-0.048, 13.0, -0.049, 1000.0)",13.01920241,41.54817179,horizontal,"(417.75, 51.5)",0,./docs/crop_pics/google/Bookshelves_4.jpg_2_0.jpg,732,train
808.81,"[(2794, 1167), (2842, 1169), (2841, 1185), (2793, 1183)]","{'Width': 49, 'Height': 18, 'Left': 2793, 'Top': 1167}","(-0.042, 16.0, -0.042, 16.0)",16.03121954,48.0416486,horizontal,"(2817.5, 1176.0)",0,./docs/crop_pics/google/IMG_7940.jpeg_0_0.jpg,1310,train
HOLOCA,"[(1420, 490), (1424, 627), (1411, 628), (1401, 491)]","{'Width': 23, 'Height': 138, 'Left': 1401, 'Top': 490}","(-34.25, 0.077, -13.7, 0.053)",16.0323512,137.2114302,vertical,"(1414.0, 559.0)",0,./docs/crop_pics/google/Bookshelves_1.jpg_0_0.jpg,137,train
THING,"[(260, 380), (261, 408), (249, 409), (248, 381)]","{'Width': 13, 'Height': 29, 'Left': 248, 'Top': 380}","(-28.0, 0.083, -28.0, 0.083)",12.04159458,28.01785145,vertical,"(254.5, 394.5)",0,./docs/crop_pics/google/Bookshelves_1.jpg_1_1.jpg,439,train
808.81,"[(3336, 1224), (3407, 1228), (3406, 1246), (3335, 1243)]","{'Width': 72, 'Height': 22, 'Left': 3335, 'Top': 1224}","(-0.056, 18.0, -0.042, 19.0)",18.52702698,71.0879694,horizontal,"(3371.0, 1235.25)",0,./docs/crop_pics/google/IMG_7940.jpeg_0_0.jpg,1347,train
find,"[(3424, 533), (3441, 533), (3441, 550), (3424, 550)]","{'Width': 17, 'Height': 17, 'Left': 3424, 'Top': 533}","(-0.0, 1000.0, 0.0, 1000.0)",17.0,17.0,horizontal,"(3432.5, 541.5)",0,./docs/crop_pics/google/IMG_7940.jpeg_0_0.jpg,1358,train
PEN,"[(2587, 1222), (2622, 1222), (2622, 1234), (2587, 1234)]","{'Width': 35, 'Height': 12, 'Left': 2587, 'Top': 1222}","(-0.0, 1000.0, 0.0, 1000.0)",12.0,35.0,horizontal,"(2604.5, 1228.0)",0,./docs/crop_pics/google/IMG_7940.jpeg_0_0.jpg,1291,train
18r,"[(593, 242), (609, 287), (586, 296), (570, 251)]","{'Width': 39, 'Height': 54, 'Left': 570, 'Top': 242}","(-2.812, 0.391, -2.812, 0.391)",24.69817807,47.75981575,vertical,"(589.5, 269.0)",1,./docs/crop_pics/google/Bookshelves_4.jpg_2_1.jpg,812,train
the,"[(245, 131), (247, 163), (216, 165), (214, 133)]","{'Width': 33, 'Height': 34, 'Left': 214, 'Top': 131}","(-16.0, 0.065, -16.0, 0.065)",31.06444913,32.06243908,vertical,"(230.5, 148.0)",1,./docs/crop_pics/google/Bookshelves_1.jpg_1_0.jpg,262,train
808.51,"[(1832, 1180), (1902, 1181), (1902, 1204), (1832, 1203)]","{'Width': 70, 'Height': 24, 'Left': 1832, 'Top': 1180}","(-0.014, 1000.0, -0.014, 1000.0)",23.0,70.00714249,horizontal,"(1867.0, 1192.0)",0,./docs/crop_pics/google/IMG_7940.jpeg_0_0.jpg,1196,train
JOY,"[(179, 285), (184, 371), (154, 373), (149, 287)]","{'Width': 35, 'Height': 88, 'Left': 149, 'Top': 285}","(-17.2, 0.067, -17.2, 0.067)",30.06659276,86.14522622,vertical,"(166.5, 329.0)",1,./docs/crop_pics/google/Bookshelves_4.jpg_2_0.jpg,721,train
POT,"[(574, 509), (576, 547), (564, 548), (562, 510)]","{'Width': 14, 'Height': 39, 'Left': 562, 'Top': 509}","(-19.0, 0.083, -19.0, 0.083)",12.04159458,38.05259518,vertical,"(569.0, 528.5)",0,./docs/crop_pics/google/Bookshelves_1.jpg_1_0.jpg,305,train
BLACKOUT,"[(30, 177), (112, 330), (84, 345), (2, 192)]","{'Width': 110, 'Height': 168, 'Left': 2, 'Top': 177}","(-1.866, 0.536, -1.866, 0.536)",31.76476035,173.5885941,vertical,"(57.0, 261.0)",1,./docs/crop_pics/google/Bookshelves_4.jpg_2_1.jpg,768,train
Get,"[(412, 718), (412, 745), (397, 745), (397, 718)]","{'Width': 15, 'Height': 27, 'Left': 397, 'Top': 718}","(1000.0, 0.0, 1000.0, -0.0)",15.0,27.0,vertical,"(404.5, 731.5)",1,./docs/crop_pics/google/Bookshelves_1.jpg_0_0.jpg,33,train
brilliant,"[(1878, 359), (1877, 427), (1861, 427), (1862, 359)]","{'Width': 17, 'Height': 68, 'Left': 1861, 'Top': 359}","(68.0, 0.0, 68.0, -0.0)",16.0,68.00735254,vertical,"(1869.5, 393.0)",1,./docs/crop_pics/google/IMG_7940.jpeg_0_0.jpg,1202,train
FAIL,"[(467, 238), (465, 309), (433, 308), (435, 237)]","{'Width': 34, 'Height': 72, 'Left': 433, 'Top': 237}","(35.5, -0.031, 35.5, -0.031)",32.01562119,71.02816343,vertical,"(450.0, 273.0)",1,./docs/crop_pics/google/Bookshelves_4.jpg_0_1.jpg,598,train
SEG,"[(1236, 1211), (1271, 1211), (1271, 1223), (1236, 1223)]","{'Width': 35, 'Height': 12, 'Left': 1236, 'Top': 1211}","(-0.0, 1000.0, 0.0, 1000.0)",12.0,35.0,horizontal,"(1253.5, 1217.0)",0,./docs/crop_pics/google/IMG_7940.jpeg_0_0.jpg,1110,train
ROBERT,"[(3714, 880), (3696, 1019), (3664, 1015), (3682, 876)]","{'Width': 50, 'Height': 143, 'Left': 3664, 'Top': 876}","(7.722, -0.125, 7.722, -0.125)",32.24903099,140.1606221,vertical,"(3689.0, 947.5)",1,./docs/crop_pics/google/IMG_7940.jpeg_0_0.jpg,1389,train
levithan,"[(668, 86), (669, 141), (657, 141), (656, 86)]","{'Width': 13, 'Height': 55, 'Left': 656, 'Top': 86}","(-55.0, 0.0, -55.0, -0.0)",12.0,55.00909016,vertical,"(662.5, 113.5)",1,./docs/crop_pics/google/Bookshelves_4.jpg_3_0.jpg,900,train
ERO,"[(2793, 1188), (2831, 1190), (2830, 1206), (2792, 1204)]","{'Width': 39, 'Height': 18, 'Left': 2792, 'Top': 1188}","(-0.053, 16.0, -0.053, 16.0)",16.03121954,38.05259518,horizontal,"(2811.5, 1197.0)",0,./docs/crop_pics/google/IMG_7940.jpeg_0_0.jpg,1309,train
808.3,"[(1033, 1178), (1092, 1178), (1092, 1192), (1033, 1192)]","{'Width': 59, 'Height': 14, 'Left': 1033, 'Top': 1178}","(-0.0, 1000.0, 0.0, 1000.0)",14.0,59.0,horizontal,"(1062.5, 1185.0)",0,./docs/crop_pics/google/IMG_7940.jpeg_0_0.jpg,1087,train
808.81,"[(3039, 1221), (3112, 1226), (3111, 1240), (3038, 1235)]","{'Width': 74, 'Height': 19, 'Left': 3038, 'Top': 1221}","(-0.068, 14.0, -0.068, 14.0)",14.03566885,73.17103252,horizontal,"(3075.0, 1230.5)",0,./docs/crop_pics/google/IMG_7940.jpeg_0_0.jpg,1333,train
MASTER,"[(1567, 455), (1566, 622), (1515, 622), (1516, 455)]","{'Width': 52, 'Height': 167, 'Left': 1515, 'Top': 455}","(167.0, 0.0, 167.0, -0.0)",51.0,167.002994,vertical,"(1541.0, 538.5)",1,./docs/crop_pics/google/IMG_7940.jpeg_0_0.jpg,1166,train
DUFFY,"[(3039, 568), (3032, 668), (3006, 666), (3013, 566)]","{'Width': 33, 'Height': 102, 'Left': 3006, 'Top': 566}","(14.286, -0.077, 14.286, -0.077)",26.07680962,100.2447006,vertical,"(3022.5, 617.0)",1,./docs/crop_pics/google/IMG_7940.jpeg_0_0.jpg,1328,train
WHOLE,"[(245, 325), (247, 415), (219, 416), (217, 326)]","{'Width': 30, 'Height': 91, 'Left': 217, 'Top': 325}","(-45.0, 0.036, -45.0, 0.036)",28.01785145,90.02221948,vertical,"(232.0, 370.5)",1,./docs/crop_pics/google/Bookshelves_4.jpg_1_0.jpg,622,train
GERDA,"[(304, 382), (311, 447), (297, 448), (290, 383)]","{'Width': 21, 'Height': 66, 'Left': 290, 'Top': 382}","(-9.286, 0.071, -9.286, 0.071)",14.03566885,65.37583651,vertical,"(300.5, 415.0)",1,./docs/crop_pics/google/Bookshelves_1.jpg_0_1.jpg,180,train
IN,"[(453, 160), (496, 151), (500, 171), (457, 181)]","{'Width': 47, 'Height': 30, 'Left': 453, 'Top': 151}","(0.209, -5.0, 0.233, -5.25)",20.88681819,44.03962269,horizontal,"(476.5, 165.75)",0,./docs/crop_pics/google/Bookshelves_4.jpg_4_1.jpg,993,train
Like,"[(1411, 684), (1411, 716), (1395, 716), (1395, 684)]","{'Width': 16, 'Height': 32, 'Left': 1395, 'Top': 684}","(1000.0, 0.0, 1000.0, -0.0)",16.0,32.0,vertical,"(1403.0, 700.0)",1,./docs/crop_pics/google/IMG_7940.jpeg_0_0.jpg,1141,train
and,"[(511, 1022), (511, 1050), (497, 1050), (497, 1022)]","{'Width': 14, 'Height': 28, 'Left': 497, 'Top': 1022}","(1000.0, 0.0, 1000.0, -0.0)",14.0,28.0,vertical,"(504.0, 1036.0)",1,./docs/crop_pics/google/IMG_7940.jpeg_0_0.jpg,1034,train
FOR,"[(1249, 427), (1248, 447), (1236, 446), (1237, 426)]","{'Width': 13, 'Height': 21, 'Left': 1236, 'Top': 426}","(20.0, -0.083, 20.0, -0.083)",12.04159458,20.02498439,vertical,"(1242.5, 436.5)",1,./docs/crop_pics/google/Bookshelves_1.jpg_0_1.jpg,248,train
CAIOLI,"[(221, 340), (276, 345), (273, 368), (219, 363)]","{'Width': 57, 'Height': 28, 'Left': 219, 'Top': 340}","(-0.091, 7.667, -0.093, 11.5)",23.14080989,54.72889627,horizontal,"(247.25, 354.0)",0,./docs/crop_pics/google/Bookshelves_1.jpg_0_0.jpg,14,train
PUBLIC,"[(1189, 298), (1208, 303), (1206, 315), (1186, 311)]","{'Width': 22, 'Height': 17, 'Left': 1186, 'Top': 298}","(-0.263, 6.0, -0.2, 4.333)",12.75359456,20.02148038,horizontal,"(1197.25, 306.75)",0,./docs/crop_pics/google/IMG_7940.jpeg_0_0.jpg,1106,train
WORDS,"[(231, 56), (233, 147), (196, 148), (193, 57)]","{'Width': 40, 'Height': 92, 'Left': 193, 'Top': 56}","(-45.5, 0.027, -30.333, 0.026)",37.51333333,91.03570624,vertical,"(213.25, 102.0)",1,./docs/crop_pics/google/Bookshelves_4.jpg_0_0.jpg,552,train
35,"[(3414, 471), (3430, 470), (3431, 483), (3415, 484)]","{'Width': 17, 'Height': 14, 'Left': 3414, 'Top': 470}","(0.062, -13.0, 0.062, -13.0)",13.03840481,16.03121954,horizontal,"(3422.5, 477.0)",0,./docs/crop_pics/google/IMG_7940.jpeg_0_0.jpg,1355,train
Journal,"[(14, 520), (19, 599), (1, 600), (0, 521)]","{'Width': 19, 'Height': 80, 'Left': 0, 'Top': 520}","(-15.8, 0.056, -79.0, 0.071)",16.03171261,79.08219928,vertical,"(8.5, 560.0)",1,./docs/crop_pics/google/Bookshelves_1.jpg_0_1.jpg,139,train
BUT,"[(677, 276), (678, 323), (660, 323), (659, 276)]","{'Width': 19, 'Height': 47, 'Left': 659, 'Top': 276}","(-47.0, 0.0, -47.0, -0.0)",18.0,47.01063709,vertical,"(668.5, 299.5)",1,./docs/crop_pics/google/Bookshelves_4.jpg_1_0.jpg,658,train
THE,"[(250, 260), (250, 283), (237, 283), (237, 260)]","{'Width': 13, 'Height': 23, 'Left': 237, 'Top': 260}","(1000.0, 0.0, 1000.0, -0.0)",13.0,23.0,vertical,"(243.5, 271.5)",1,./docs/crop_pics/google/Bookshelves_4.jpg_3_0.jpg,830,train
KOUT,"[(16, 247), (61, 334), (35, 347), (0, 260)]","{'Width': 61, 'Height': 100, 'Left': 0, 'Top': 247}","(-1.933, 0.5, -2.486, 0.812)",24.84220592,95.86264797,vertical,"(28.0, 297.0)",0,./docs/crop_pics/google/Bookshelves_4.jpg_2_1.jpg,765,train
",","[(243, 280), (243, 292), (216, 293), (216, 281)]","{'Width': 27, 'Height': 13, 'Left': 216, 'Top': 280}","(1000.0, 0.037, 1000.0, 0.037)",27.01851217,12.0,vertical,"(229.5, 286.5)",1,./docs/crop_pics/google/Bookshelves_4.jpg_1_0.jpg,620,train
PRESSING,"[(901, 517), (903, 568), (892, 568), (890, 517)]","{'Width': 13, 'Height': 51, 'Left': 890, 'Top': 517}","(-25.5, 0.0, -25.5, -0.0)",11.0,51.03920062,vertical,"(896.5, 542.5)",0,./docs/crop_pics/google/Bookshelves_1.jpg_0_0.jpg,72,train
GUYSIREADOBU,"[(356, 156), (446, 339), (425, 349), (335, 166)]","{'Width': 111, 'Height': 193, 'Left': 335, 'Top': 156}","(-2.033, 0.476, -2.033, 0.476)",23.2594067,203.9338128,vertical,"(390.5, 252.5)",0,./docs/crop_pics/google/Bookshelves_4.jpg_2_1.jpg,799,train
2,"[(526, 60), (527, 110), (488, 111), (487, 61)]","{'Width': 40, 'Height': 51, 'Left': 487, 'Top': 60}","(-50.0, 0.026, -50.0, 0.026)",39.01281841,50.009999,vertical,"(507.0, 85.5)",0,./docs/crop_pics/google/Bookshelves_4.jpg_1_0.jpg,641,train
caning,"[(3467, 533), (3505, 534), (3505, 552), (3467, 551)]","{'Width': 38, 'Height': 19, 'Left': 3467, 'Top': 533}","(-0.026, 1000.0, -0.026, 1000.0)",18.0,38.01315562,horizontal,"(3486.0, 542.5)",0,./docs/crop_pics/google/IMG_7940.jpeg_0_0.jpg,1365,train
808.81,"[(2947, 1198), (3011, 1204), (3009, 1217), (2946, 1211)]","{'Width': 65, 'Height': 19, 'Left': 2946, 'Top': 1198}","(-0.094, 6.5, -0.095, 13.0)",13.09567562,63.78285202,horizontal,"(2978.25, 1207.5)",0,./docs/crop_pics/google/IMG_7940.jpeg_0_0.jpg,1326,train
Sal,"[(3360, 532), (3382, 532), (3382, 549), (3360, 549)]","{'Width': 22, 'Height': 17, 'Left': 3360, 'Top': 532}","(-0.0, 1000.0, 0.0, 1000.0)",17.0,22.0,horizontal,"(3371.0, 540.5)",0,./docs/crop_pics/google/IMG_7940.jpeg_0_0.jpg,1348,train
KLEON,"[(285, 797), (288, 866), (265, 867), (262, 798)]","{'Width': 26, 'Height': 70, 'Left': 262, 'Top': 797}","(-23.0, 0.043, -23.0, 0.043)",23.02172887,69.0651866,vertical,"(275.0, 832.0)",1,./docs/crop_pics/google/Bookshelves_1.jpg_0_0.jpg,20,train
808.808.808.5,"[(1918, 1181), (2094, 1184), (2094, 1207), (1918, 1204)]","{'Width': 176, 'Height': 26, 'Left': 1918, 'Top': 1181}","(-0.017, 1000.0, -0.017, 1000.0)",23.0,176.0255663,horizontal,"(2006.0, 1194.0)",0,./docs/crop_pics/google/IMG_7940.jpeg_0_0.jpg,1212,train
ley,"[(716, 341), (717, 372), (690, 373), (689, 342)]","{'Width': 28, 'Height': 32, 'Left': 689, 'Top': 341}","(-31.0, 0.037, -31.0, 0.037)",27.01851217,31.01612484,vertical,"(703.0, 357.0)",0,./docs/crop_pics/google/Bookshelves_1.jpg_0_0.jpg,52,train
Storylines,"[(2097, 500), (2092, 788), (2050, 787), (2055, 499)]","{'Width': 47, 'Height': 289, 'Left': 2050, 'Top': 499}","(57.6, -0.024, 57.6, -0.024)",42.01190308,288.0433995,vertical,"(2073.5, 643.5)",1,./docs/crop_pics/google/IMG_7940.jpeg_0_0.jpg,1231,train
808.607,"[(2256, 1185), (2339, 1186), (2339, 1199), (2256, 1198)]","{'Width': 83, 'Height': 14, 'Left': 2256, 'Top': 1185}","(-0.012, 1000.0, -0.012, 1000.0)",13.0,83.00602388,horizontal,"(2297.5, 1192.0)",0,./docs/crop_pics/google/IMG_7940.jpeg_0_0.jpg,1259,train
APPLEGATE,"[(219, 113), (220, 173), (210, 173), (209, 113)]","{'Width': 11, 'Height': 60, 'Left': 209, 'Top': 113}","(-60.0, 0.0, -60.0, -0.0)",10.0,60.00833275,vertical,"(214.5, 143.0)",1,./docs/crop_pics/google/Bookshelves_4.jpg_1_1.jpg,687,train
WOO,"[(1129, 1214), (1164, 1214), (1164, 1226), (1129, 1226)]","{'Width': 35, 'Height': 12, 'Left': 1129, 'Top': 1214}","(-0.0, 1000.0, 0.0, 1000.0)",12.0,35.0,horizontal,"(1146.5, 1220.0)",0,./docs/crop_pics/google/IMG_7940.jpeg_0_0.jpg,1094,train
Mart,"[(878, 415), (882, 444), (867, 446), (863, 417)]","{'Width': 19, 'Height': 31, 'Left': 863, 'Top': 415}","(-7.25, 0.133, -7.25, 0.133)",15.13274595,29.27456234,vertical,"(872.5, 430.5)",0,./docs/crop_pics/google/Bookshelves_1.jpg_1_1.jpg,503,train
THE,"[(73, 150), (76, 223), (42, 224), (39, 151)]","{'Width': 37, 'Height': 74, 'Left': 39, 'Top': 150}","(-24.333, 0.029, -24.333, 0.029)",34.0147027,73.06161783,vertical,"(57.5, 187.0)",1,./docs/crop_pics/google/Bookshelves_4.jpg_0_1.jpg,573,train
Son,"[(3962, 228), (4030, 228), (4030, 294), (3962, 294)]","{'Width': 68, 'Height': 66, 'Left': 3962, 'Top': 228}","(-0.0, 1000.0, 0.0, 1000.0)",66.0,68.0,horizontal,"(3996.0, 261.0)",0,./docs/crop_pics/google/IMG_7940.jpeg_0_0.jpg,1417,train
THE,"[(2960, 185), (2955, 266), (2923, 264), (2928, 183)]","{'Width': 37, 'Height': 83, 'Left': 2923, 'Top': 183}","(16.2, -0.062, 16.2, -0.062)",32.06243908,81.15417426,vertical,"(2941.5, 224.5)",1,./docs/crop_pics/google/IMG_7940.jpeg_0_0.jpg,1324,train
NORWAY'S,"[(195, 353), (202, 424), (185, 425), (178, 355)]","{'Width': 24, 'Height': 72, 'Left': 178, 'Top': 353}","(-10.143, 0.059, -10.0, 0.118)",17.07331457,70.84668264,vertical,"(190.0, 389.25)",1,./docs/crop_pics/google/Bookshelves_1.jpg_0_1.jpg,170,train
INTEGRATED,"[(1042, 605), (1039, 704), (1015, 703), (1018, 604)]","{'Width': 27, 'Height': 100, 'Left': 1015, 'Top': 604}","(33.0, -0.042, 33.0, -0.042)",24.0208243,99.04544412,vertical,"(1028.5, 654.0)",1,./docs/crop_pics/google/Bookshelves_1.jpg_0_1.jpg,222,train
E,"[(370, 404), (383, 429), (369, 436), (357, 411)]","{'Width': 26, 'Height': 32, 'Left': 357, 'Top': 404}","(-1.923, 0.5, -2.083, 0.538)",15.20864945,27.95442743,vertical,"(369.75, 420.0)",0,./docs/crop_pics/google/Bookshelves_4.jpg_2_1.jpg,801,train
THE,"[(1005, 378), (1007, 403), (997, 404), (995, 379)]","{'Width': 12, 'Height': 26, 'Left': 995, 'Top': 378}","(-12.5, 0.1, -12.5, 0.1)",10.04987562,25.07987241,vertical,"(1001.0, 391.0)",1,./docs/crop_pics/google/Bookshelves_1.jpg_1_0.jpg,360,train
The,"[(598, 219), (598, 248), (579, 248), (579, 219)]","{'Width': 19, 'Height': 29, 'Left': 579, 'Top': 219}","(1000.0, 0.0, 1000.0, -0.0)",19.0,29.0,vertical,"(588.5, 233.5)",1,./docs/crop_pics/google/Bookshelves_1.jpg_0_0.jpg,43,train
CT,"[(479, 78), (489, 98), (462, 111), (452, 92)]","{'Width': 37, 'Height': 33, 'Left': 452, 'Top': 78}","(-2.0, 0.481, -1.9, 0.519)",30.19023039,21.91579516,vertical,"(470.5, 94.75)",0,./docs/crop_pics/google/Bookshelves_4.jpg_2_0.jpg,737,train
FOR,"[(1118, 418), (1120, 446), (1104, 447), (1101, 419)]","{'Width': 19, 'Height': 29, 'Left': 1101, 'Top': 418}","(-14.0, 0.062, -9.333, 0.059)",16.53030295,28.11579669,vertical,"(1110.75, 432.5)",1,./docs/crop_pics/google/Bookshelves_1.jpg_1_0.jpg,372,train
RELEASE,"[(771, 512), (771, 664), (740, 664), (740, 512)]","{'Width': 31, 'Height': 152, 'Left': 740, 'Top': 512}","(1000.0, 0.0, 1000.0, -0.0)",31.0,152.0,vertical,"(755.5, 588.0)",1,./docs/crop_pics/google/IMG_7940.jpeg_0_0.jpg,1068,train
FRAISE,"[(3493, 300), (3536, 296), (3538, 317), (3495, 321)]","{'Width': 45, 'Height': 25, 'Left': 3493, 'Top': 296}","(0.093, -10.5, 0.093, -10.5)",21.09502311,43.18564576,horizontal,"(3515.5, 308.5)",0,./docs/crop_pics/google/IMG_7940.jpeg_0_0.jpg,1368,train
NEIL,"[(2288, 1140), (2336, 1147), (2334, 1165), (2285, 1158)]","{'Width': 51, 'Height': 25, 'Left': 2285, 'Top': 1140}","(-0.146, 9.0, -0.143, 6.0)",18.17952893,49.00260301,horizontal,"(2310.75, 1152.5)",1,./docs/crop_pics/google/IMG_7940.jpeg_0_0.jpg,1261,train
NATURAL,"[(1712, 596), (1709, 796), (1662, 795), (1665, 595)]","{'Width': 50, 'Height': 201, 'Left': 1662, 'Top': 595}","(66.667, -0.021, 66.667, -0.021)",47.01063709,200.0224987,vertical,"(1687.0, 695.5)",1,./docs/crop_pics/google/IMG_7940.jpeg_0_0.jpg,1181,train
