txt,confidence,vertices,boundBox,slopes,font,word_len,direction,center_point,crop_idx,Left,Top,Label,image_path
130,100,"[(215, 480), (217, 571), (179, 572), (177, 481)]","{'Width': 40, 'Height': 92, 'Left': 177, 'Top': 480}","(-45.5, 0.026, -45.5, 0.026)",38.01315562,91.02197537,vertical,"(197.0, 526.0)","(0, 0)",177,480,1,cropped_images_1\cropped_11.jpg
SECOND,100,"[(217, 578), (219, 679), (180, 680), (178, 579)]","{'Width': 41, 'Height': 102, 'Left': 178, 'Top': 578}","(-50.5, 0.026, -50.5, 0.026)",39.01281841,101.0198,vertical,"(198.5, 629.0)","(0, 0)",178,578,1,cropped_images_1\cropped_12.jpg
MYSTERIES,100,"[(219, 685), (222, 826), (183, 827), (180, 686)]","{'Width': 42, 'Height': 142, 'Left': 180, 'Top': 685}","(-47.0, 0.026, -47.0, 0.026)",39.01281841,141.0319113,vertical,"(201.0, 756.0)","(0, 0)",180,685,1,cropped_images_1\cropped_13.jpg
CAIOLI,100,"[(221, 340), (276, 345), (273, 368), (219, 363)]","{'Width': 57, 'Height': 28, 'Left': 219, 'Top': 340}","(-0.091, 7.667, -0.093, 11.5)",23.14080989,54.72889627,horizontal,"(247.25, 354.0)","(0, 0)",219,340,0,cropped_images_1\cropped_14.jpg
SHOW,100,"[(274, 493), (276, 556), (253, 557), (251, 494)]","{'Width': 25, 'Height': 64, 'Left': 251, 'Top': 493}","(-31.5, 0.043, -31.5, 0.043)",23.02172887,63.03173804,vertical,"(263.5, 525.0)","(0, 0)",251,493,1,cropped_images_1\cropped_15.jpg
YOUR,100,"[(276, 559), (278, 610), (256, 611), (254, 560)]","{'Width': 24, 'Height': 52, 'Left': 254, 'Top': 559}","(-25.5, 0.045, -25.5, 0.045)",22.02271555,51.03920062,vertical,"(266.0, 585.0)","(0, 0)",254,559,1,cropped_images_1\cropped_16.jpg
WORK,100,"[(279, 617), (281, 681), (258, 682), (256, 618)]","{'Width': 25, 'Height': 65, 'Left': 256, 'Top': 617}","(-32.0, 0.043, -32.0, 0.043)",23.02172887,64.03124237,vertical,"(268.5, 649.5)","(0, 0)",256,617,1,cropped_images_1\cropped_17.jpg
/,100,"[(280, 679), (280, 692), (258, 693), (258, 680)]","{'Width': 22, 'Height': 14, 'Left': 258, 'Top': 679}","(1000.0, 0.045, 1000.0, 0.045)",22.02271555,13.0,vertical,"(269.0, 686.0)","(0, 0)",258,679,0,cropped_images_1\cropped_18.jpg
AUSTIN,100,"[(282, 725), (284, 788), (262, 789), (260, 726)]","{'Width': 24, 'Height': 64, 'Left': 260, 'Top': 725}","(-31.5, 0.045, -31.5, 0.045)",22.02271555,63.03173804,vertical,"(272.0, 757.0)","(0, 0)",260,725,1,cropped_images_1\cropped_19.jpg
KLEON,100,"[(285, 797), (288, 866), (265, 867), (262, 798)]","{'Width': 26, 'Height': 70, 'Left': 262, 'Top': 797}","(-23.0, 0.043, -23.0, 0.043)",23.02172887,69.0651866,vertical,"(275.0, 832.0)","(0, 0)",262,797,1,cropped_images_1\cropped_20.jpg
m,100,"[(289, 911), (290, 928), (268, 929), (267, 912)]","{'Width': 23, 'Height': 18, 'Left': 267, 'Top': 911}","(-17.0, 0.045, -17.0, 0.045)",22.02271555,17.02938637,vertical,"(278.5, 920.0)","(0, 0)",267,911,0,cropped_images_1\cropped_21.jpg
CLINTON,100,"[(371, 219), (373, 343), (351, 343), (349, 219)]","{'Width': 24, 'Height': 124, 'Left': 349, 'Top': 219}","(-62.0, 0.0, -62.0, -0.0)",22.0,124.016128,vertical,"(361.0, 281.0)","(0, 0)",349,219,1,cropped_images_1\cropped_22.jpg
WORLD,100,"[(413, 497), (410, 714), (357, 713), (360, 496)]","{'Width': 56, 'Height': 218, 'Left': 357, 'Top': 496}","(72.333, -0.019, 72.333, -0.019)",53.00943312,217.0207363,vertical,"(385.0, 605.0)","(0, 0)",357,496,1,cropped_images_1\cropped_23.jpg
Get,100,"[(373, 813), (373, 842), (358, 842), (358, 813)]","{'Width': 15, 'Height': 29, 'Left': 358, 'Top': 813}","(1000.0, 0.0, 1000.0, -0.0)",15.0,29.0,vertical,"(365.5, 827.5)","(0, 0)",358,813,1,cropped_images_1\cropped_24.jpg
Going,100,"[(373, 845), (373, 884), (358, 884), (358, 845)]","{'Width': 15, 'Height': 39, 'Left': 358, 'Top': 845}","(1000.0, 0.0, 1000.0, -0.0)",15.0,39.0,vertical,"(365.5, 864.5)","(0, 0)",358,845,1,cropped_images_1\cropped_25.jpg
!,100,"[(373, 884), (373, 889), (358, 889), (358, 884)]","{'Width': 15, 'Height': 5, 'Left': 358, 'Top': 884}","(1000.0, 0.0, 1000.0, -0.0)",15.0,5.0,vertical,"(365.5, 886.5)","(0, 0)",358,884,1,cropped_images_1\cropped_26.jpg
Your,100,"[(414, 424), (413, 497), (360, 496), (361, 423)]","{'Width': 54, 'Height': 74, 'Left': 360, 'Top': 423}","(73.0, -0.019, 73.0, -0.019)",53.00943312,73.00684899,vertical,"(387.0, 460.0)","(0, 0)",360,423,1,cropped_images_1\cropped_27.jpg
It's,100,"[(415, 369), (414, 435), (361, 434), (362, 368)]","{'Width': 54, 'Height': 67, 'Left': 361, 'Top': 368}","(66.0, -0.019, 66.0, -0.019)",53.00943312,66.00757532,vertical,"(388.0, 401.5)","(0, 0)",361,368,1,cropped_images_1\cropped_28.jpg
CHELSEA,100,"[(417, 218), (415, 352), (362, 351), (364, 217)]","{'Width': 55, 'Height': 135, 'Left': 362, 'Top': 217}","(67.0, -0.019, 67.0, -0.019)",53.00943312,134.0149245,vertical,"(389.5, 284.5)","(0, 0)",362,217,1,cropped_images_1\cropped_29.jpg
Get,100,"[(392, 751), (392, 779), (376, 779), (376, 751)]","{'Width': 16, 'Height': 28, 'Left': 376, 'Top': 751}","(1000.0, 0.0, 1000.0, -0.0)",16.0,28.0,vertical,"(384.0, 765.0)","(0, 0)",376,751,1,cropped_images_1\cropped_30.jpg
Inspired,100,"[(392, 784), (392, 842), (376, 842), (376, 784)]","{'Width': 16, 'Height': 58, 'Left': 376, 'Top': 784}","(1000.0, 0.0, 1000.0, -0.0)",16.0,58.0,vertical,"(384.0, 813.0)","(0, 0)",376,784,1,cropped_images_1\cropped_31.jpg
&,100,"[(392, 846), (392, 856), (376, 856), (376, 846)]","{'Width': 16, 'Height': 10, 'Left': 376, 'Top': 846}","(1000.0, 0.0, 1000.0, -0.0)",16.0,10.0,vertical,"(384.0, 851.0)","(0, 0)",376,846,1,cropped_images_1\cropped_32.jpg
Get,100,"[(412, 718), (412, 745), (397, 745), (397, 718)]","{'Width': 15, 'Height': 27, 'Left': 397, 'Top': 718}","(1000.0, 0.0, 1000.0, -0.0)",15.0,27.0,vertical,"(404.5, 731.5)","(0, 0)",397,718,1,cropped_images_1\cropped_33.jpg
Infermed,100,"[(412, 751), (413, 817), (398, 817), (397, 751)]","{'Width': 16, 'Height': 66, 'Left': 397, 'Top': 751}","(-66.0, 0.0, -66.0, -0.0)",15.0,66.00757532,vertical,"(405.0, 784.0)","(0, 0)",397,751,1,cropped_images_1\cropped_34.jpg
GLADWELL,100,"[(501, 664), (500, 811), (483, 811), (484, 664)]","{'Width': 18, 'Height': 147, 'Left': 483, 'Top': 664}","(147.0, 0.0, 147.0, -0.0)",17.0,147.0034013,vertical,"(492.0, 737.5)","(0, 0)",483,664,1,cropped_images_1\cropped_35.jpg
Success,100,"[(501, 568), (500, 641), (484, 641), (485, 568)]","{'Width': 17, 'Height': 73, 'Left': 484, 'Top': 568}","(73.0, 0.0, 73.0, -0.0)",16.0,73.00684899,vertical,"(492.5, 604.5)","(0, 0)",484,568,1,cropped_images_1\cropped_36.jpg
or,100,"[(501, 544), (501, 564), (485, 564), (485, 544)]","{'Width': 16, 'Height': 20, 'Left': 485, 'Top': 544}","(1000.0, 0.0, 1000.0, -0.0)",16.0,20.0,vertical,"(493.0, 554.0)","(0, 0)",485,544,0,cropped_images_1\cropped_37.jpg
Outliers,100,"[(515, 340), (515, 482), (490, 482), (490, 340)]","{'Width': 25, 'Height': 142, 'Left': 490, 'Top': 340}","(1000.0, 0.0, 1000.0, -0.0)",25.0,142.0,vertical,"(502.5, 411.0)","(0, 0)",490,340,1,cropped_images_1\cropped_38.jpg
o,100,"[(515, 503), (515, 525), (490, 525), (490, 503)]","{'Width': 25, 'Height': 22, 'Left': 490, 'Top': 503}","(1000.0, 0.0, 1000.0, -0.0)",25.0,22.0,vertical,"(502.5, 514.0)","(0, 0)",490,503,0,cropped_images_1\cropped_39.jpg
THE,100,"[(521, 550), (522, 577), (507, 577), (506, 550)]","{'Width': 16, 'Height': 27, 'Left': 506, 'Top': 550}","(-27.0, 0.0, -27.0, -0.0)",15.0,27.01851217,vertical,"(514.0, 563.5)","(0, 0)",506,550,1,cropped_images_1\cropped_40.jpg
STORY,100,"[(522, 586), (523, 636), (507, 636), (506, 586)]","{'Width': 17, 'Height': 50, 'Left': 506, 'Top': 586}","(-50.0, 0.0, -50.0, -0.0)",16.0,50.009999,vertical,"(514.5, 611.0)","(0, 0)",506,586,1,cropped_images_1\cropped_41.jpg
MALCOLM,100,"[(530, 670), (530, 803), (513, 803), (513, 670)]","{'Width': 17, 'Height': 133, 'Left': 513, 'Top': 670}","(1000.0, 0.0, 1000.0, -0.0)",17.0,133.0,vertical,"(521.5, 736.5)","(0, 0)",513,670,1,cropped_images_1\cropped_42.jpg
The,100,"[(598, 219), (598, 248), (579, 248), (579, 219)]","{'Width': 19, 'Height': 29, 'Left': 579, 'Top': 219}","(1000.0, 0.0, 1000.0, -0.0)",19.0,29.0,vertical,"(588.5, 233.5)","(0, 0)",579,219,1,cropped_images_1\cropped_43.jpg
Story,100,"[(599, 252), (600, 295), (580, 295), (579, 252)]","{'Width': 21, 'Height': 43, 'Left': 579, 'Top': 252}","(-43.0, 0.0, -43.0, -0.0)",20.0,43.01162634,vertical,"(589.5, 273.5)","(0, 0)",579,252,1,cropped_images_1\cropped_44.jpg
of,100,"[(599, 297), (599, 317), (580, 317), (580, 297)]","{'Width': 19, 'Height': 20, 'Left': 580, 'Top': 297}","(1000.0, 0.0, 1000.0, -0.0)",19.0,20.0,vertical,"(589.5, 307.0)","(0, 0)",580,297,1,cropped_images_1\cropped_45.jpg
One,100,"[(599, 317), (600, 349), (581, 349), (580, 317)]","{'Width': 20, 'Height': 32, 'Left': 580, 'Top': 317}","(-32.0, 0.0, -32.0, -0.0)",19.0,32.01562119,vertical,"(590.0, 333.0)","(0, 0)",580,317,1,cropped_images_1\cropped_46.jpg
Family,100,"[(600, 351), (601, 402), (581, 402), (580, 351)]","{'Width': 21, 'Height': 51, 'Left': 580, 'Top': 351}","(-51.0, 0.0, -51.0, -0.0)",20.0,51.00980298,vertical,"(590.5, 376.5)","(0, 0)",580,351,1,cropped_images_1\cropped_47.jpg
Ab,100,"[(601, 405), (601, 423), (581, 423), (581, 405)]","{'Width': 20, 'Height': 18, 'Left': 581, 'Top': 405}","(1000.0, 0.0, 1000.0, -0.0)",20.0,18.0,vertical,"(591.0, 414.0)","(0, 0)",581,405,0,cropped_images_1\cropped_48.jpg
LARGE,100,"[(612, 795), (611, 839), (587, 839), (588, 795)]","{'Width': 25, 'Height': 44, 'Left': 587, 'Top': 795}","(44.0, 0.0, 44.0, -0.0)",24.0,44.01136217,vertical,"(599.5, 817.0)","(0, 0)",587,795,1,cropped_images_1\cropped_49.jpg
CLAY,100,"[(613, 759), (612, 795), (588, 795), (589, 759)]","{'Width': 25, 'Height': 36, 'Left': 588, 'Top': 759}","(36.0, 0.0, 36.0, -0.0)",24.0,36.01388621,vertical,"(600.5, 777.0)","(0, 0)",588,759,1,cropped_images_1\cropped_50.jpg
DAVID,100,"[(614, 714), (613, 756), (589, 756), (590, 714)]","{'Width': 25, 'Height': 42, 'Left': 589, 'Top': 714}","(42.0, 0.0, 42.0, -0.0)",24.0,42.01190308,vertical,"(601.5, 735.0)","(0, 0)",589,714,1,cropped_images_1\cropped_51.jpg
ley,100,"[(716, 341), (717, 372), (690, 373), (689, 342)]","{'Width': 28, 'Height': 32, 'Left': 689, 'Top': 341}","(-31.0, 0.037, -31.0, 0.037)",27.01851217,31.01612484,vertical,"(703.0, 357.0)","(0, 0)",689,341,0,cropped_images_1\cropped_52.jpg
Stremme,100,"[(717, 383), (719, 456), (692, 457), (690, 384)]","{'Width': 29, 'Height': 74, 'Left': 690, 'Top': 383}","(-36.5, 0.037, -36.5, 0.037)",27.01851217,73.02739212,vertical,"(704.5, 420.0)","(0, 0)",690,383,1,cropped_images_1\cropped_53.jpg
SCHOLASTI,100,"[(719, 463), (724, 610), (698, 611), (693, 464)]","{'Width': 31, 'Height': 148, 'Left': 693, 'Top': 463}","(-29.4, 0.038, -29.4, 0.038)",26.01922366,147.0850094,vertical,"(708.5, 537.0)","(0, 0)",693,463,0,cropped_images_1\cropped_54.jpg
Johnson,100,"[(771, 781), (770, 860), (752, 860), (753, 781)]","{'Width': 19, 'Height': 79, 'Left': 752, 'Top': 781}","(79.0, 0.0, 79.0, -0.0)",18.0,79.00632886,vertical,"(761.5, 820.5)","(0, 0)",752,781,1,cropped_images_1\cropped_55.jpg
How,100,"[(791, 270), (791, 361), (757, 361), (757, 270)]","{'Width': 34, 'Height': 91, 'Left': 757, 'Top': 270}","(1000.0, 0.0, 1000.0, -0.0)",34.0,91.0,vertical,"(774.0, 315.5)","(0, 0)",757,270,1,cropped_images_1\cropped_56.jpg
We,100,"[(791, 372), (791, 444), (757, 444), (757, 372)]","{'Width': 34, 'Height': 72, 'Left': 757, 'Top': 372}","(1000.0, 0.0, 1000.0, -0.0)",34.0,72.0,vertical,"(774.0, 408.0)","(0, 0)",757,372,1,cropped_images_1\cropped_57.jpg
Got,100,"[(791, 458), (791, 537), (757, 537), (757, 458)]","{'Width': 34, 'Height': 79, 'Left': 757, 'Top': 458}","(1000.0, 0.0, 1000.0, -0.0)",34.0,79.0,vertical,"(774.0, 497.5)","(0, 0)",757,458,1,cropped_images_1\cropped_58.jpg
to,100,"[(791, 544), (791, 583), (757, 583), (757, 544)]","{'Width': 34, 'Height': 39, 'Left': 757, 'Top': 544}","(1000.0, 0.0, 1000.0, -0.0)",34.0,39.0,vertical,"(774.0, 563.5)","(0, 0)",757,544,1,cropped_images_1\cropped_59.jpg
Now,100,"[(791, 595), (791, 690), (757, 690), (757, 595)]","{'Width': 34, 'Height': 95, 'Left': 757, 'Top': 595}","(1000.0, 0.0, 1000.0, -0.0)",34.0,95.0,vertical,"(774.0, 642.5)","(0, 0)",757,595,1,cropped_images_1\cropped_60.jpg
1,100,"[(783, 936), (783, 951), (757, 951), (757, 936)]","{'Width': 26, 'Height': 15, 'Left': 757, 'Top': 936}","(1000.0, 0.0, 1000.0, -0.0)",26.0,15.0,vertical,"(770.0, 943.5)","(0, 0)",757,936,0,cropped_images_1\cropped_61.jpg
RI,100,"[(759, 900), (786, 900), (786, 922), (759, 922)]","{'Width': 27, 'Height': 22, 'Left': 759, 'Top': 900}","(-0.0, 1000.0, 0.0, 1000.0)",22.0,27.0,horizontal,"(772.5, 911.0)","(0, 0)",759,900,0,cropped_images_1\cropped_62.jpg
Steven,100,"[(795, 791), (795, 855), (776, 855), (776, 791)]","{'Width': 19, 'Height': 64, 'Left': 776, 'Top': 791}","(1000.0, 0.0, 1000.0, -0.0)",19.0,64.0,vertical,"(785.5, 823.0)","(0, 0)",776,791,1,cropped_images_1\cropped_63.jpg
WORLD'S,100,"[(883, 426), (885, 503), (867, 503), (865, 427)]","{'Width': 20, 'Height': 77, 'Left': 865, 'Top': 426}","(-38.5, 0.0, -38.0, 0.056)",18.01387819,76.52614044,vertical,"(875.0, 464.75)","(0, 0)",865,426,1,cropped_images_1\cropped_64.jpg
SCAREST,100,"[(885, 508), (887, 590), (869, 590), (867, 509)]","{'Width': 20, 'Height': 82, 'Left': 867, 'Top': 508}","(-41.0, 0.0, -40.5, 0.056)",18.01387819,81.52453711,vertical,"(877.0, 549.25)","(0, 0)",867,508,1,cropped_images_1\cropped_65.jpg
Sun,100,"[(905, 784), (894, 835), (867, 829), (879, 778)]","{'Width': 38, 'Height': 57, 'Left': 867, 'Top': 778}","(4.636, -0.222, 4.25, -0.231)",27.17098075,52.28276872,vertical,"(886.25, 806.5)","(0, 0)",867,778,1,cropped_images_1\cropped_66.jpg
-,100,"[(887, 584), (887, 595), (870, 595), (870, 584)]","{'Width': 17, 'Height': 11, 'Left': 870, 'Top': 584}","(1000.0, 0.0, 1000.0, -0.0)",17.0,11.0,vertical,"(878.5, 589.5)","(0, 0)",870,584,0,cropped_images_1\cropped_67.jpg
PRISONS,100,"[(888, 595), (890, 667), (872, 667), (870, 596)]","{'Width': 20, 'Height': 72, 'Left': 870, 'Top': 595}","(-36.0, 0.0, -35.5, 0.056)",18.01387819,71.52796792,vertical,"(880.0, 631.25)","(0, 0)",870,595,1,cropped_images_1\cropped_68.jpg
a,100,"[(909, 765), (906, 780), (879, 774), (883, 759)]","{'Width': 30, 'Height': 21, 'Left': 879, 'Top': 759}","(5.0, -0.222, 3.75, -0.231)",27.17098075,15.41061662,vertical,"(894.25, 769.5)","(0, 0)",879,759,1,cropped_images_1\cropped_69.jpg
Still,100,"[(922, 709), (911, 758), (885, 752), (896, 703)]","{'Width': 37, 'Height': 55, 'Left': 885, 'Top': 703}","(4.455, -0.231, 4.455, -0.231)",26.68332813,50.21951812,vertical,"(903.5, 730.5)","(0, 0)",885,703,1,cropped_images_1\cropped_70.jpg
CAFTRAGEOUS,100,"[(898, 450), (901, 515), (890, 515), (887, 450)]","{'Width': 14, 'Height': 65, 'Left': 887, 'Top': 450}","(-21.667, 0.0, -21.667, -0.0)",11.0,65.06919394,vertical,"(894.0, 482.5)","(0, 0)",887,450,0,cropped_images_1\cropped_71.jpg
PRESSING,100,"[(901, 517), (903, 568), (892, 568), (890, 517)]","{'Width': 13, 'Height': 51, 'Left': 890, 'Top': 517}","(-25.5, 0.0, -25.5, -0.0)",11.0,51.03920062,vertical,"(896.5, 542.5)","(0, 0)",890,517,0,cropped_images_1\cropped_72.jpg
MY,100,"[(903, 572), (904, 601), (894, 601), (893, 572)]","{'Width': 11, 'Height': 29, 'Left': 893, 'Top': 572}","(-29.0, 0.0, -29.0, -0.0)",10.0,29.01723626,vertical,"(898.5, 586.5)","(0, 0)",893,572,0,cropped_images_1\cropped_73.jpg
Somewhere,100,"[(984, 604), (932, 844), (895, 836), (947, 596)]","{'Width': 89, 'Height': 248, 'Left': 895, 'Top': 596}","(4.615, -0.216, 4.615, -0.216)",37.85498646,245.5687277,vertical,"(939.5, 720.0)","(0, 0)",895,596,1,cropped_images_1\cropped_74.jpg
Is,100,"[(928, 678), (923, 700), (897, 695), (902, 672)]","{'Width': 31, 'Height': 28, 'Left': 897, 'Top': 672}","(4.4, -0.192, 4.6, -0.231)",26.57986636,23.04911647,vertical,"(912.5, 686.25)","(0, 0)",897,672,1,cropped_images_1\cropped_75.jpg
There,100,"[(947, 597), (930, 672), (903, 666), (920, 591)]","{'Width': 44, 'Height': 81, 'Left': 903, 'Top': 591}","(4.412, -0.222, 4.412, -0.222)",27.65863337,76.90253572,vertical,"(925.0, 631.5)","(0, 0)",903,591,1,cropped_images_1\cropped_76.jpg
GRUENBAUM,100,"[(982, 497), (963, 587), (949, 584), (968, 494)]","{'Width': 33, 'Height': 93, 'Left': 949, 'Top': 494}","(4.737, -0.214, 4.737, -0.214)",14.31782106,91.98369421,vertical,"(965.5, 540.5)","(0, 0)",949,494,1,cropped_images_1\cropped_77.jpg
MIKAY,100,"[(983, 866), (969, 919), (951, 914), (966, 861)]","{'Width': 32, 'Height': 58, 'Left': 951, 'Top': 861}","(3.786, -0.278, 3.533, -0.294)",18.20079342,54.94981886,vertical,"(967.25, 890.0)","(0, 0)",951,861,0,cropped_images_1\cropped_78.jpg
Images,100,"[(1054, 656), (1025, 743), (995, 733), (1025, 646)]","{'Width': 59, 'Height': 97, 'Left': 995, 'Top': 646}","(3.0, -0.333, 2.9, -0.345)",31.14924995,91.86661102,vertical,"(1024.75, 694.5)","(0, 0)",995,646,1,cropped_images_1\cropped_79.jpg
Rescued,100,"[(1092, 543), (1056, 650), (1027, 640), (1063, 533)]","{'Width': 65, 'Height': 117, 'Left': 1027, 'Top': 533}","(2.972, -0.345, 2.972, -0.345)",30.6757233,112.8937554,vertical,"(1059.5, 591.5)","(0, 0)",1027,533,1,cropped_images_1\cropped_80.jpg
eint,100,"[(1055, 955), (1055, 982), (1042, 982), (1042, 955)]","{'Width': 13, 'Height': 27, 'Left': 1042, 'Top': 955}","(1000.0, 0.0, 1000.0, -0.0)",13.0,27.0,vertical,"(1048.5, 968.5)","(0, 0)",1042,955,0,cropped_images_1\cropped_81.jpg
ter,100,"[(1070, 678), (1064, 715), (1050, 712), (1056, 676)]","{'Width': 20, 'Height': 39, 'Left': 1050, 'Top': 676}","(6.167, -0.214, 6.0, -0.143)",14.22997834,36.9899524,vertical,"(1060.0, 695.25)","(0, 0)",1050,676,0,cropped_images_1\cropped_82.jpg
LEYSON,100,"[(1054, 857), (1128, 859), (1127, 890), (1053, 888)]","{'Width': 75, 'Height': 33, 'Left': 1053, 'Top': 857}","(-0.027, 31.0, -0.027, 31.0)",31.01612484,74.02702209,horizontal,"(1090.5, 873.5)","(0, 0)",1053,857,1,cropped_images_1\cropped_83.jpg
BATTLE,100,"[(1099, 602), (1102, 641), (1090, 642), (1087, 603)]","{'Width': 15, 'Height': 40, 'Left': 1087, 'Top': 602}","(-13.0, 0.083, -13.0, 0.083)",12.04159458,39.11521443,vertical,"(1094.5, 622.0)","(0, 0)",1087,602,1,cropped_images_1\cropped_84.jpg
HEROES,100,"[(1102, 643), (1105, 685), (1093, 686), (1090, 644)]","{'Width': 15, 'Height': 43, 'Left': 1090, 'Top': 643}","(-14.0, 0.083, -14.0, 0.083)",12.04159458,42.10700654,vertical,"(1097.5, 664.5)","(0, 0)",1090,643,1,cropped_images_1\cropped_85.jpg
ICES,100,"[(1106, 697), (1108, 718), (1096, 719), (1094, 698)]","{'Width': 14, 'Height': 22, 'Left': 1094, 'Top': 697}","(-10.5, 0.083, -10.5, 0.083)",12.04159458,21.09502311,vertical,"(1101.0, 708.0)","(0, 0)",1094,697,0,cropped_images_1\cropped_86.jpg
FRO,100,"[(1107, 719), (1108, 737), (1097, 738), (1096, 720)]","{'Width': 12, 'Height': 19, 'Left': 1096, 'Top': 719}","(-18.0, 0.091, -18.0, 0.091)",11.04536102,18.02775638,vertical,"(1102.0, 728.5)","(0, 0)",1096,719,0,cropped_images_1\cropped_87.jpg
SEED,100,"[(1111, 795), (1215, 797), (1214, 833), (1110, 831)]","{'Width': 105, 'Height': 38, 'Left': 1110, 'Top': 795}","(-0.019, 36.0, -0.019, 36.0)",36.01388621,104.019229,horizontal,"(1162.5, 814.0)","(0, 0)",1110,795,1,cropped_images_1\cropped_88.jpg
Jacobsen,100,"[(1160, 281), (1139, 367), (1114, 360), (1135, 275)]","{'Width': 46, 'Height': 92, 'Left': 1114, 'Top': 275}","(4.095, -0.28, 4.048, -0.24)",25.83571512,88.04126433,vertical,"(1137.0, 320.75)","(0, 0)",1114,275,1,cropped_images_1\cropped_89.jpg
MINECRAFT,100,"[(1125, 573), (1131, 644), (1120, 645), (1114, 574)]","{'Width': 17, 'Height': 72, 'Left': 1114, 'Top': 573}","(-11.833, 0.091, -11.833, 0.091)",11.04536102,71.25307011,vertical,"(1122.5, 609.0)","(0, 0)",1114,573,1,cropped_images_1\cropped_90.jpg
STEN,100,"[(1133, 665), (1135, 690), (1124, 691), (1122, 666)]","{'Width': 13, 'Height': 26, 'Left': 1122, 'Top': 665}","(-12.5, 0.091, -12.5, 0.091)",11.04536102,25.07987241,vertical,"(1128.5, 678.0)","(0, 0)",1122,665,0,cropped_images_1\cropped_91.jpg
A,100,"[(1138, 718), (1139, 726), (1129, 727), (1128, 719)]","{'Width': 11, 'Height': 9, 'Left': 1128, 'Top': 718}","(-8.0, 0.1, -8.0, 0.1)",10.04987562,8.062257748,vertical,"(1133.5, 722.5)","(0, 0)",1128,718,0,cropped_images_1\cropped_92.jpg
