txt,confidence,vertices,boundBox,slopes,font,word_len,direction,center_point,crop_idx,Left,Top,Label
BE,100,"[(1120, 602), (1140, 604), (1139, 618), (1119, 616)]","{'Width': 21, 'Height': 16, 'Left': 1119, 'Top': 602}","(-0.1, 14.0, -0.1, 14.0)",14.03566885,20.09975124,horizontal,"(1129.5, 610.0)","(0, 0)",1119,602.0,0.0
BE,100,"[(1120, 661), (1145, 663), (1144, 677), (1119, 675)]","{'Width': 26, 'Height': 16, 'Left': 1119, 'Top': 661}","(-0.08, 14.0, -0.08, 14.0)",14.03566885,25.07987241,horizontal,"(1132.0, 669.0)","(0, 0)",1119,661.0,0.0
BE,100,"[(1120, 677), (1152, 679), (1151, 697), (1119, 695)]","{'Width': 33, 'Height': 20, 'Left': 1119, 'Top': 677}","(-0.062, 18.0, -0.062, 18.0)",18.02775638,32.06243908,horizontal,"(1135.5, 687.0)","(0, 0)",1119,677.0,0.0
BELIEVE,100,"[(1122, 398), (1208, 406), (1206, 428), (1120, 420)]","{'Width': 88, 'Height': 30, 'Left': 1120, 'Top': 398}","(-0.093, 11.0, -0.093, 11.0)",22.09072203,86.37129153,horizontal,"(1164.0, 413.0)","(0, 0)",1120,398.0,0.0
BE,100,"[(1121, 544), (1154, 547), (1153, 563), (1120, 560)]","{'Width': 34, 'Height': 19, 'Left': 1120, 'Top': 544}","(-0.091, 16.0, -0.091, 16.0)",16.03121954,33.13608305,horizontal,"(1137.0, 553.5)","(0, 0)",1120,544.0,0.0
THE,100,"[(1143, 604), (1173, 606), (1172, 619), (1142, 617)]","{'Width': 31, 'Height': 15, 'Left': 1142, 'Top': 604}","(-0.067, 13.0, -0.067, 13.0)",13.03840481,30.06659276,horizontal,"(1157.5, 611.5)","(0, 0)",1142,604.0,0.0
THANKFUL,100,"[(1149, 664), (1250, 672), (1249, 685), (1148, 677)]","{'Width': 102, 'Height': 21, 'Left': 1148, 'Top': 664}","(-0.079, 13.0, -0.079, 13.0)",13.03840481,101.3163363,horizontal,"(1199.0, 674.5)","(0, 0)",1148,664.0,0.0
WITH,100,"[(1157, 386), (1195, 389), (1193, 405), (1156, 402)]","{'Width': 39, 'Height': 19, 'Left': 1156, 'Top': 386}","(-0.079, 8.0, -0.081, 16.0)",16.07786752,37.61982975,horizontal,"(1175.25, 395.5)","(0, 0)",1156,386.0,0.0
OPPORTUNITIES,100,"[(1159, 490), (1257, 499), (1255, 514), (1158, 505)]","{'Width': 99, 'Height': 24, 'Left': 1158, 'Top': 490}","(-0.092, 7.5, -0.093, 15.0)",15.08302116,97.91451431,horizontal,"(1207.25, 502.0)","(0, 0)",1158,490.0,0.0
HAPPY,100,"[(1160, 679), (1248, 685), (1247, 704), (1159, 698)]","{'Width': 89, 'Height': 25, 'Left': 1159, 'Top': 679}","(-0.068, 19.0, -0.068, 19.0)",19.02629759,88.20430828,horizontal,"(1203.5, 691.5)","(0, 0)",1159,679.0,0.0
PURSUE,100,"[(1163, 309), (1246, 312), (1244, 366), (1161, 363)]","{'Width': 85, 'Height': 57, 'Left': 1161, 'Top': 309}","(-0.036, 27.0, -0.036, 27.0)",54.03702434,83.05419917,horizontal,"(1203.5, 337.5)","(0, 0)",1161,309.0,0.0
OPTIMISM,100,"[(1162, 440), (1234, 447), (1232, 461), (1161, 455)]","{'Width': 73, 'Height': 21, 'Left': 1161, 'Top': 440}","(-0.097, 7.0, -0.085, 15.0)",14.587716,71.79627379,horizontal,"(1197.25, 450.75)","(0, 0)",1161,440.0,0.0
TRUE,100,"[(1163, 547), (1230, 553), (1228, 568), (1162, 563)]","{'Width': 68, 'Height': 21, 'Left': 1162, 'Top': 547}","(-0.09, 7.5, -0.076, 16.0)",15.58198275,66.7286216,horizontal,"(1195.75, 557.75)","(0, 0)",1162,547.0,0.0
TIME,100,"[(1164, 577), (1194, 579), (1193, 592), (1163, 590)]","{'Width': 31, 'Height': 15, 'Left': 1163, 'Top': 577}","(-0.067, 13.0, -0.067, 13.0)",13.03840481,30.06659276,horizontal,"(1178.5, 584.5)","(0, 0)",1163,577.0,0.0
A,100,"[(1167, 297), (1181, 298), (1179, 320), (1165, 319)]","{'Width': 16, 'Height': 23, 'Left': 1165, 'Top': 297}","(-0.071, 11.0, -0.071, 11.0)",22.09072203,14.03566885,horizontal,"(1173.0, 308.5)","(0, 0)",1165,297.0,0.0
WINE,100,"[(1166, 373), (1205, 377), (1204, 390), (1165, 386)]","{'Width': 40, 'Height': 17, 'Left': 1165, 'Top': 373}","(-0.103, 13.0, -0.103, 13.0)",13.03840481,39.20459157,horizontal,"(1185.0, 381.5)","(0, 0)",1165,373.0,0.0
TIME,100,"[(1167, 562), (1203, 565), (1202, 579), (1166, 576)]","{'Width': 37, 'Height': 17, 'Left': 1166, 'Top': 562}","(-0.083, 14.0, -0.083, 14.0)",14.03566885,36.12478374,horizontal,"(1184.5, 570.5)","(0, 0)",1166,562.0,0.0
NEW,100,"[(1173, 646), (1224, 650), (1223, 667), (1172, 663)]","{'Width': 52, 'Height': 21, 'Left': 1172, 'Top': 646}","(-0.078, 17.0, -0.078, 17.0)",17.02938637,51.15662225,horizontal,"(1198.0, 656.5)","(0, 0)",1172,646.0,0.0
CHANGE,100,"[(1174, 606), (1235, 611), (1234, 625), (1173, 620)]","{'Width': 62, 'Height': 19, 'Left': 1173, 'Top': 606}","(-0.082, 14.0, -0.082, 14.0)",14.03566885,61.20457499,horizontal,"(1204.0, 615.5)","(0, 0)",1173,606.0,0.0
PASSION,100,"[(1184, 299), (1263, 307), (1260, 330), (1182, 322)]","{'Width': 81, 'Height': 31, 'Left': 1182, 'Top': 299}","(-0.101, 7.667, -0.103, 11.5)",23.14080989,78.90660663,horizontal,"(1222.25, 314.5)","(0, 0)",1182,299.0,0.0
TIME,100,"[(1185, 479), (1230, 483), (1229, 496), (1184, 492)]","{'Width': 46, 'Height': 17, 'Left': 1184, 'Top': 479}","(-0.089, 13.0, -0.089, 13.0)",13.03840481,45.17742799,horizontal,"(1207.0, 487.5)","(0, 0)",1184,479.0,0.0
WITH,100,"[(1188, 508), (1252, 514), (1250, 536), (1186, 530)]","{'Width': 66, 'Height': 28, 'Left': 1186, 'Top': 508}","(-0.094, 11.0, -0.094, 11.0)",22.09072203,64.28063472,horizontal,"(1219.0, 522.0)","(0, 0)",1186,508.0,0.0
GIVE,100,"[(1191, 532), (1235, 536), (1233, 552), (1190, 548)]","{'Width': 45, 'Height': 20, 'Left': 1190, 'Top': 532}","(-0.091, 8.0, -0.093, 16.0)",16.07786752,43.68354492,horizontal,"(1212.25, 542.0)","(0, 0)",1190,532.0,0.0
IN,100,"[(1193, 354), (1219, 356), (1217, 376), (1191, 374)]","{'Width': 28, 'Height': 22, 'Left': 1191, 'Top': 354}","(-0.077, 10.0, -0.077, 10.0)",20.09975124,26.07680962,horizontal,"(1205.0, 365.0)","(0, 0)",1191,354.0,0.0
WITH,100,"[(1195, 579), (1228, 582), (1227, 595), (1194, 592)]","{'Width': 34, 'Height': 16, 'Left': 1194, 'Top': 579}","(-0.091, 13.0, -0.091, 13.0)",13.03840481,33.13608305,horizontal,"(1211.0, 587.0)","(0, 0)",1194,579.0,0.0
GOOD,100,"[(1198, 390), (1237, 393), (1235, 409), (1197, 406)]","{'Width': 40, 'Height': 19, 'Left': 1197, 'Top': 390}","(-0.077, 8.0, -0.079, 16.0)",16.07786752,38.61672577,horizontal,"(1216.75, 399.5)","(0, 0)",1197,390.0,0.0
.,100,"[(1201, 376), (1211, 377), (1210, 390), (1200, 389)]","{'Width': 11, 'Height': 14, 'Left': 1200, 'Top': 376}","(-0.1, 13.0, -0.1, 13.0)",13.03840481,10.04987562,horizontal,"(1205.5, 383.0)","(0, 0)",1200,376.0,0.0
ABOUT,100,"[(1203, 428), (1252, 433), (1251, 445), (1202, 441)]","{'Width': 50, 'Height': 17, 'Left': 1202, 'Top': 428}","(-0.102, 12.0, -0.082, 13.0)",12.53999969,49.20871782,horizontal,"(1227.0, 436.75)","(0, 0)",1202,428.0,0.0
TO,100,"[(1206, 566), (1225, 568), (1224, 581), (1205, 579)]","{'Width': 20, 'Height': 15, 'Left': 1205, 'Top': 566}","(-0.105, 13.0, -0.105, 13.0)",13.03840481,19.10497317,horizontal,"(1215.0, 573.5)","(0, 0)",1205,566.0,0.0
OFTEN,100,"[(1206, 592), (1284, 598), (1282, 615), (1205, 609)]","{'Width': 79, 'Height': 23, 'Left': 1205, 'Top': 592}","(-0.077, 8.5, -0.078, 17.0)",17.07331457,77.73192066,horizontal,"(1244.25, 603.5)","(0, 0)",1205,592.0,0.0
MORE,100,"[(1212, 460), (1287, 467), (1285, 487), (1210, 480)]","{'Width': 77, 'Height': 27, 'Left': 1210, 'Top': 460}","(-0.093, 10.0, -0.093, 10.0)",20.09975124,75.32595834,horizontal,"(1248.5, 473.5)","(0, 0)",1210,460.0,0.0
EAT,100,"[(1212, 377), (1240, 380), (1239, 393), (1211, 390)]","{'Width': 29, 'Height': 16, 'Left': 1211, 'Top': 377}","(-0.107, 13.0, -0.107, 13.0)",13.03840481,28.16025568,horizontal,"(1225.5, 385.0)","(0, 0)",1211,377.0,0.0
IN,100,"[(1215, 407), (1237, 409), (1235, 430), (1213, 428)]","{'Width': 24, 'Height': 23, 'Left': 1213, 'Top': 407}","(-0.091, 10.5, -0.091, 10.5)",21.09502311,22.09072203,horizontal,"(1225.0, 418.5)","(0, 0)",1213,407.0,0.0
ENJOY,100,"[(1228, 567), (1274, 571), (1273, 585), (1227, 581)]","{'Width': 47, 'Height': 18, 'Left': 1227, 'Top': 567}","(-0.087, 14.0, -0.087, 14.0)",14.03566885,46.17358552,horizontal,"(1250.5, 576.0)","(0, 0)",1227,567.0,0.0
FAMILY,100,"[(1229, 582), (1276, 586), (1275, 599), (1228, 595)]","{'Width': 48, 'Height': 17, 'Left': 1228, 'Top': 582}","(-0.085, 13.0, -0.085, 13.0)",13.03840481,47.16990566,horizontal,"(1252.0, 590.5)","(0, 0)",1228,582.0,0.0
LOVE,100,"[(1231, 357), (1299, 364), (1297, 384), (1229, 378)]","{'Width': 70, 'Height': 27, 'Left': 1229, 'Top': 357}","(-0.103, 10.0, -0.088, 10.5)",20.59738718,68.31176865,horizontal,"(1264.0, 370.75)","(0, 0)",1229,357.0,0.0
THING,100,"[(1230, 650), (1300, 655), (1298, 673), (1229, 668)]","{'Width': 71, 'Height': 23, 'Left': 1229, 'Top': 650}","(-0.071, 9.0, -0.072, 18.0)",18.06926333,69.67963323,horizontal,"(1264.25, 661.5)","(0, 0)",1229,650.0,0.0
WITH,100,"[(1234, 483), (1280, 487), (1279, 500), (1233, 496)]","{'Width': 47, 'Height': 17, 'Left': 1233, 'Top': 483}","(-0.087, 13.0, -0.087, 13.0)",13.03840481,46.17358552,horizontal,"(1256.5, 491.5)","(0, 0)",1233,483.0,0.0
TO,100,"[(1238, 447), (1256, 449), (1255, 463), (1237, 461)]","{'Width': 19, 'Height': 16, 'Left': 1237, 'Top': 447}","(-0.111, 14.0, -0.111, 14.0)",14.03566885,18.11077028,horizontal,"(1246.5, 455.0)","(0, 0)",1237,447.0,0.0
IT,100,"[(1240, 312), (1270, 313), (1268, 367), (1238, 366)]","{'Width': 32, 'Height': 55, 'Left': 1238, 'Top': 312}","(-0.033, 27.0, -0.033, 27.0)",54.03702434,30.01666204,horizontal,"(1254.0, 339.5)","(0, 0)",1238,312.0,0.0
FRIENDS,100,"[(1239, 394), (1300, 399), (1298, 414), (1238, 409)]","{'Width': 62, 'Height': 20, 'Left': 1238, 'Top': 394}","(-0.082, 7.5, -0.083, 15.0)",15.08302116,60.70627394,horizontal,"(1268.75, 404.0)","(0, 0)",1238,394.0,0.0
TO,100,"[(1239, 553), (1272, 556), (1270, 573), (1238, 570)]","{'Width': 34, 'Height': 20, 'Left': 1238, 'Top': 553}","(-0.091, 8.5, -0.094, 17.0)",17.07331457,32.63820021,horizontal,"(1254.75, 563.0)","(0, 0)",1238,553.0,0.0
YOU,100,"[(1239, 612), (1269, 614), (1268, 628), (1238, 626)]","{'Width': 31, 'Height': 16, 'Left': 1238, 'Top': 612}","(-0.067, 14.0, -0.067, 14.0)",14.03566885,30.06659276,horizontal,"(1253.5, 620.0)","(0, 0)",1238,612.0,0.0
UP,100,"[(1241, 537), (1267, 539), (1266, 554), (1240, 552)]","{'Width': 27, 'Height': 17, 'Left': 1240, 'Top': 537}","(-0.077, 15.0, -0.077, 15.0)",15.03329638,26.07680962,horizontal,"(1253.5, 545.5)","(0, 0)",1240,537.0,0.0
MAGIC,100,"[(1243, 410), (1311, 416), (1309, 437), (1241, 431)]","{'Width': 70, 'Height': 27, 'Left': 1241, 'Top': 410}","(-0.088, 10.5, -0.088, 10.5)",21.09502311,68.26419266,horizontal,"(1276.0, 423.5)","(0, 0)",1241,410.0,0.0
GREAT,100,"[(1243, 380), (1288, 384), (1287, 397), (1242, 393)]","{'Width': 46, 'Height': 17, 'Left': 1242, 'Top': 380}","(-0.089, 13.0, -0.089, 13.0)",13.03840481,45.17742799,horizontal,"(1265.0, 388.5)","(0, 0)",1242,380.0,0.0
YOUR,100,"[(1249, 626), (1330, 632), (1328, 655), (1247, 649)]","{'Width': 83, 'Height': 29, 'Left': 1247, 'Top': 626}","(-0.074, 11.5, -0.074, 11.5)",23.08679276,81.22191822,horizontal,"(1288.5, 640.5)","(0, 0)",1247,626.0,0.0
.,100,"[(1255, 312), (1278, 313), (1276, 367), (1253, 366)]","{'Width': 25, 'Height': 55, 'Left': 1253, 'Top': 312}","(-0.043, 27.0, -0.043, 27.0)",54.03702434,23.02172887,horizontal,"(1265.5, 339.5)","(0, 0)",1253,312.0,0.0
THE,100,"[(1256, 433), (1283, 435), (1282, 448), (1255, 446)]","{'Width': 28, 'Height': 15, 'Left': 1255, 'Top': 433}","(-0.074, 13.0, -0.074, 13.0)",13.03840481,27.07397274,horizontal,"(1269.0, 440.5)","(0, 0)",1255,433.0,0.0
WHEN,100,"[(1259, 499), (1298, 502), (1297, 517), (1258, 514)]","{'Width': 40, 'Height': 18, 'Left': 1258, 'Top': 499}","(-0.077, 15.0, -0.077, 15.0)",15.03329638,39.11521443,horizontal,"(1278.0, 508.0)","(0, 0)",1258,499.0,0.0
ALL,100,"[(1260, 515), (1307, 519), (1305, 540), (1258, 536)]","{'Width': 49, 'Height': 25, 'Left': 1258, 'Top': 515}","(-0.085, 10.5, -0.085, 10.5)",21.09502311,47.16990566,horizontal,"(1282.5, 527.5)","(0, 0)",1258,515.0,0.0
THE,100,"[(1260, 449), (1289, 452), (1288, 466), (1259, 463)]","{'Width': 30, 'Height': 17, 'Left': 1259, 'Top': 449}","(-0.103, 14.0, -0.103, 14.0)",14.03566885,29.15475947,horizontal,"(1274.0, 457.5)","(0, 0)",1259,449.0,0.0
LI,100,"[(1260, 685), (1285, 687), (1284, 706), (1259, 704)]","{'Width': 26, 'Height': 21, 'Left': 1259, 'Top': 685}","(-0.08, 19.0, -0.08, 19.0)",19.02629759,25.07987241,horizontal,"(1272.0, 695.5)","(0, 0)",1259,685.0,0.0
BE,100,"[(1261, 673), (1285, 675), (1284, 688), (1260, 686)]","{'Width': 25, 'Height': 15, 'Left': 1260, 'Top': 673}","(-0.083, 13.0, -0.083, 13.0)",13.03840481,24.08318916,horizontal,"(1272.5, 680.5)","(0, 0)",1260,673.0,0.0
.,100,"[(1265, 539), (1272, 540), (1271, 555), (1264, 554)]","{'Width': 8, 'Height': 16, 'Left': 1264, 'Top': 539}","(-0.143, 15.0, -0.143, 15.0)",15.03329638,7.071067812,horizontal,"(1268.0, 547.0)","(0, 0)",1264,539.0,0.0
WISH,100,"[(1270, 615), (1310, 618), (1309, 631), (1269, 628)]","{'Width': 41, 'Height': 16, 'Left': 1269, 'Top': 615}","(-0.075, 13.0, -0.075, 13.0)",13.03840481,40.11234224,horizontal,"(1289.5, 623.0)","(0, 0)",1269,615.0,0.0
LIFE,100,"[(1273, 312), (1467, 318), (1465, 373), (1271, 367)]","{'Width': 196, 'Height': 61, 'Left': 1271, 'Top': 312}","(-0.031, 27.5, -0.031, 27.5)",55.03635162,194.0927613,horizontal,"(1369.0, 342.5)","(0, 0)",1271,312.0,0.0
THE,100,"[(1277, 572), (1306, 574), (1305, 587), (1276, 585)]","{'Width': 30, 'Height': 15, 'Left': 1276, 'Top': 572}","(-0.069, 13.0, -0.069, 13.0)",13.03840481,29.06888371,horizontal,"(1291.0, 579.5)","(0, 0)",1276,572.0,0.0
DO,100,"[(1279, 540), (1306, 542), (1304, 558), (1278, 556)]","{'Width': 28, 'Height': 18, 'Left': 1278, 'Top': 540}","(-0.074, 8.0, -0.077, 16.0)",16.07786752,26.57539118,horizontal,"(1291.75, 549.0)","(0, 0)",1278,540.0,0.0
WHO,100,"[(1281, 556), (1339, 561), (1337, 578), (1280, 573)]","{'Width': 59, 'Height': 22, 'Left': 1280, 'Top': 556}","(-0.086, 8.5, -0.088, 17.0)",17.07331457,57.71699816,horizontal,"(1309.25, 567.0)","(0, 0)",1280,556.0,0.0
.,100,"[(1284, 467), (1292, 468), (1290, 487), (1282, 486)]","{'Width': 10, 'Height': 20, 'Left': 1282, 'Top': 467}","(-0.125, 9.5, -0.125, 9.5)",19.10497317,8.062257748,horizontal,"(1287.0, 477.0)","(0, 0)",1282,467.0,0.0
FORDIVE,100,"[(1283, 586), (1333, 590), (1332, 603), (1282, 599)]","{'Width': 51, 'Height': 17, 'Left': 1282, 'Top': 586}","(-0.08, 13.0, -0.08, 13.0)",13.03840481,50.15974482,horizontal,"(1307.5, 594.5)","(0, 0)",1282,586.0,0.0
.,100,"[(1283, 599), (1293, 600), (1292, 616), (1282, 615)]","{'Width': 11, 'Height': 17, 'Left': 1282, 'Top': 599}","(-0.1, 16.0, -0.1, 16.0)",16.03121954,10.04987562,horizontal,"(1287.5, 607.5)","(0, 0)",1282,599.0,0.0
PEOPLE,100,"[(1286, 488), (1351, 494), (1350, 506), (1285, 500)]","{'Width': 66, 'Height': 18, 'Left': 1285, 'Top': 488}","(-0.092, 12.0, -0.092, 12.0)",12.04159458,65.27633568,horizontal,"(1318.0, 497.0)","(0, 0)",1285,488.0,0.0
GOOD,100,"[(1288, 436), (1328, 440), (1327, 453), (1287, 449)]","{'Width': 41, 'Height': 17, 'Left': 1287, 'Top': 436}","(-0.1, 13.0, -0.1, 13.0)",13.03840481,40.19950248,horizontal,"(1307.5, 444.5)","(0, 0)",1287,436.0,0.0
FOOD,100,"[(1291, 384), (1330, 388), (1329, 401), (1290, 397)]","{'Width': 40, 'Height': 17, 'Left': 1290, 'Top': 384}","(-0.103, 13.0, -0.103, 13.0)",13.03840481,39.20459157,horizontal,"(1310.0, 392.5)","(0, 0)",1290,384.0,0.0
FUTURE,100,"[(1292, 452), (1348, 457), (1346, 472), (1291, 467)]","{'Width': 57, 'Height': 20, 'Left': 1291, 'Top': 452}","(-0.089, 7.5, -0.091, 15.0)",15.08302116,55.72478814,horizontal,"(1319.25, 462.0)","(0, 0)",1291,452.0,0.0
.,100,"[(1298, 364), (1306, 365), (1304, 385), (1296, 384)]","{'Width': 10, 'Height': 21, 'Left': 1296, 'Top': 364}","(-0.125, 10.0, -0.125, 10.0)",20.09975124,8.062257748,horizontal,"(1301.0, 374.5)","(0, 0)",1296,364.0,0.0
THEY,100,"[(1300, 503), (1335, 506), (1334, 521), (1299, 518)]","{'Width': 36, 'Height': 18, 'Left': 1299, 'Top': 503}","(-0.086, 15.0, -0.086, 15.0)",15.03329638,35.12833614,horizontal,"(1317.0, 512.0)","(0, 0)",1299,503.0,0.0
BE,100,"[(1302, 468), (1334, 471), (1332, 490), (1300, 487)]","{'Width': 34, 'Height': 22, 'Left': 1300, 'Top': 468}","(-0.094, 9.5, -0.094, 9.5)",19.10497317,32.14031736,horizontal,"(1317.0, 479.0)","(0, 0)",1300,468.0,0.0
BE,100,"[(1301, 601), (1333, 604), (1332, 620), (1300, 617)]","{'Width': 33, 'Height': 19, 'Left': 1300, 'Top': 601}","(-0.094, 16.0, -0.094, 16.0)",16.03121954,32.14031736,horizontal,"(1316.5, 610.5)","(0, 0)",1300,601.0,0.0
.,100,"[(1309, 416), (1318, 417), (1316, 438), (1307, 437)]","{'Width': 11, 'Height': 22, 'Left': 1307, 'Top': 416}","(-0.111, 10.5, -0.111, 10.5)",21.09502311,9.055385138,horizontal,"(1312.5, 427.0)","(0, 0)",1307,416.0,0.0
LAUGH,100,"[(1309, 400), (1367, 405), (1365, 420), (1308, 415)]","{'Width': 59, 'Height': 20, 'Left': 1308, 'Top': 400}","(-0.086, 7.5, -0.088, 15.0)",15.08302116,57.71699816,horizontal,"(1337.25, 410.0)","(0, 0)",1308,400.0,0.0
WI,100,"[(1309, 543), (1335, 545), (1334, 560), (1308, 558)]","{'Width': 27, 'Height': 17, 'Left': 1308, 'Top': 543}","(-0.077, 15.0, -0.077, 15.0)",15.03329638,26.07680962,horizontal,"(1321.5, 551.5)","(0, 0)",1308,543.0,0.0
SIMP,100,"[(1309, 574), (1344, 577), (1343, 591), (1308, 588)]","{'Width': 36, 'Height': 17, 'Left': 1308, 'Top': 574}","(-0.086, 14.0, -0.086, 14.0)",14.03566885,35.12833614,horizontal,"(1326.0, 582.5)","(0, 0)",1308,574.0,0.0
YO,100,"[(1312, 520), (1344, 523), (1342, 544), (1310, 541)]","{'Width': 34, 'Height': 24, 'Left': 1310, 'Top': 520}","(-0.094, 10.5, -0.094, 10.5)",21.09502311,32.14031736,horizontal,"(1327.0, 532.0)","(0, 0)",1310,520.0,0.0
TO,100,"[(1313, 618), (1332, 620), (1331, 632), (1312, 631)]","{'Width': 20, 'Height': 14, 'Left': 1312, 'Top': 618}","(-0.105, 12.0, -0.053, 13.0)",12.53999969,19.06563538,horizontal,"(1322.0, 625.25)","(0, 0)",1312,618.0,0.0
DREAM,100,"[(1316, 365), (1411, 374), (1409, 395), (1314, 386)]","{'Width': 97, 'Height': 30, 'Left': 1314, 'Top': 365}","(-0.095, 10.5, -0.095, 10.5)",21.09502311,95.4253635,horizontal,"(1362.5, 380.0)","(0, 0)",1314,365.0,0.0
